Country,Year,GDPPC,LifeExpectancy,Population,Region
Paraguay,1834,998,35.5,195875,America
Peru,1834,1253,35.7,1519450,America
Philippines,1834,985,30.9,2254767,East Asia & Pacific
Poland,1834,1381,35.9,11232857,Europe & Central Asia
Portugal,1834,1694,35.6,3490333,Europe & Central Asia
Puerto Rico,1834,1488,30.43,317110,America
Qatar,1834,1246,30.8,14092,Middle East & North Africa
Reunion,1834,NA,33,100142,Sub-Saharan Africa
Romania,1834,990,35.7,6893384,Europe & Central Asia
Russia,1834,1603,29.5734571976521,34134430,Europe & Central Asia
Rwanda,1834,450,31.8,988207,Sub-Saharan Africa
St. Helena,1834,NA,NA,2859,NA
St. Kitts and Nevis,1834,1283,NA,18575,NA
St. Lucia,1834,918,28.008,24000,NA
St. Vincent and the Grenadines,1834,924,25.986,27085,NA
St.-Pierre-et-Miquelon,1834,NA,NA,1918,NA
Samoa,1834,1473,25.4,47059,East Asia & Pacific
San Marino,1834,1490,NA,5865,Europe & Central Asia
Sao Tome and Principe,1834,906,31,24518,Sub-Saharan Africa
Saudi Arabia,1834,872,32.1,2138414,Middle East & North Africa
Senegal,1834,533,25.2,1080873,Sub-Saharan Africa
Serbia,1834,1527,35.5,2347810,Europe & Central Asia
Seychelles,1834,906,37,12965,Sub-Saharan Africa
Sierra Leone,1834,788,25.1,849920,Sub-Saharan Africa
Singapore,1834,1057,34,37232,East Asia & Pacific
Slovak Republic,1834,1604,36.4,2220574,Europe & Central Asia
Slovenia,1834,1584,36.6,513559,Europe & Central Asia
Solomon Islands,1834,382,25.1,59648,East Asia & Pacific
Somalia,1834,716,29.4,1065648,Sub-Saharan Africa
South Africa,1834,1526,33.5,1714970,Sub-Saharan Africa
Spain,1834,1575,29.5,13051762,Europe & Central Asia
Sri Lanka,1834,913,32.6,1494084,South Asia
Sudan,1834,556,31.4,4289105,Sub-Saharan Africa
Suriname,1834,1803,32.9,87130,America
Swaziland,1834,525,32.3,86000,Sub-Saharan Africa
Sweden,1834,1585,38.53,2855774,Europe & Central Asia
Switzerland,1834,3140,38,2101048,Europe & Central Asia
Syria,1834,1103,31.1,1383046,Middle East & North Africa
